user_id,signup_date,subscription_plan,monthly_price,discount_applied,tenure_months,monthly_usage_hours,sessions_per_month,device_type,region,age_group,acquisition_channel,referral_flag,customer_support_tickets,payment_failures,content_category_preference,engagement_score,churn_flag,churn_probability,lifetime_value,churn_reason,price_sensitivity,customer_satisfaction,lifecycle_stage,usage_trend,support_sentiment,competitor_exposure,promotion_type
100031,2023-05-07,Basic,299,0.2,19,16.3,41,Laptop,North,55+,Organic,1,1,0,Fitness,2.62,1,0.67,1477.34,"Low usage",High,Satisfied,Mature,Declining,Negative,Occasional,Seasonal
100032,2022-04-20,Basic,299,0,35,8.3,37,Tablet,North,18-24,Email,0,1,0,Technology,1.98,1,0.75,2570.81,"Switched to competitor",High,Satisfied,Mature,Declining,Positive,Occasional,None
100033,2023-12-19,Standard,499,0,18,29.9,46,TV,South,45-54,"Google Ads",1,0,1,Technology,3.63,0,0.55,4045.24,Active,High,Dissatisfied,Mature,Increasing,"No contact",Occasional,None
100034,2022-05-26,Standard,499,0,10,8.4,50,Tablet,East,55+,Organic,1,2,0,Comedy,2.5,1,0.69,1547.77,"Price too high",Low,Satisfied,Growth,Increasing,Positive,Occasional,None
100035,2022-12-01,Standard,499,0,15,26.5,11,Tablet,East,45-54,"Google Ads",1,3,0,Education,2.03,1,0.75,1885.18,"Price too high",Low,Dissatisfied,Growth,Stable,Positive,None,None
100036,2023-09-03,Premium,799,0,24,26.1,45,TV,South,35-44,"Google Ads",1,0,1,Drama,3.37,0,0.58,8017.76,Active,Low,Neutral,Mature,Stable,"No contact",Occasional,None
100037,2021-07-09,Standard,499,0.2,47,14.2,58,Laptop,South,18-24,Referral,0,0,0,Fitness,3.17,1,0.61,7379.26,"Switched to competitor",Medium,Satisfied,Mature,Stable,"No contact",High,Referral
100038,2023-08-16,Standard,499,0,20,27.9,34,TV,West,55+,"Meta Ads",0,1,0,Technology,3.03,1,0.62,3751.79,"Poor app experience",Medium,"Very satisfied",Mature,Increasing,Negative,Occasional,None
100039,2022-11-18,Basic,299,0.2,37,17.5,53,Mobile,East,55+,"Google Ads",0,1,0,Comedy,3.17,1,0.61,3480.86,"Poor app experience",High,Satisfied,Mature,Stable,Neutral,High,Referral
100040,2023-08-16,Premium,799,0.1,11,5.4,17,Laptop,East,45-54,Email,1,0,0,Comedy,1,1,0.88,981.4,"Low usage",High,"Very satisfied",Growth,Stable,"No contact",None,Referral
100041,2022-07-17,Basic,299,0.3,9,17.4,28,Laptop,South,45-54,Organic,1,0,0,Fitness,2.16,1,0.73,504.81,"Low content relevance",Low,"Very satisfied",Growth,Declining,"No contact",Occasional,Referral
100042,2024-06-21,Basic,299,0,5,8.5,14,Mobile,West,35-44,"Google Ads",1,1,1,Technology,1.07,1,0.87,198.47,"Poor app experience",High,Satisfied,Onboarding,Stable,Neutral,None,None
100043,2023-04-12,Standard,499,0,11,50.1,24,Laptop,West,45-54,"Meta Ads",0,0,1,Technology,3.97,0,0.51,2703.64,Active,Low,"Very dissatisfied",Growth,Increasing,"No contact",Occasional,None
100044,2024-02-29,Basic,299,0.1,39,10.8,44,TV,North,55+,"Meta Ads",1,0,1,Fitness,2.41,1,0.7,3138.05,"Poor app experience",Low,"Very dissatisfied",Mature,Increasing,"No contact",Occasional,Referral
100045,2022-10-09,Basic,299,0.2,27,11.8,21,Laptop,East,55+,Email,0,1,0,Fitness,1.55,1,0.81,1242,"Price too high",High,"Very satisfied",Mature,Stable,Positive,Occasional,Seasonal
100046,2021-01-21,Standard,499,0,2,15.5,38,Laptop,North,45-54,"Meta Ads",0,2,2,Education,2.45,1,0.7,303.36,"Low content relevance",High,Neutral,Onboarding,Declining,Negative,None,None
100047,2023-04-21,Basic,299,0,20,7.9,23,Tablet,South,25-34,Email,0,1,2,Comedy,1.39,1,0.83,1031.29,"Low usage",Low,Neutral,Mature,Stable,Neutral,High,None
100048,2021-06-16,Basic,299,0,21,14.8,7,TV,West,18-24,Email,0,0,1,Drama,1.17,1,0.85,911.47,"Price too high",High,Neutral,Mature,Declining,"No contact",High,None
100049,2024-07-21,Standard,499,0,30,9.2,48,Mobile,North,45-54,Email,0,0,0,Drama,2.47,1,0.69,4587.58,"Price too high",High,Neutral,Mature,Increasing,"No contact",Occasional,None
100050,2022-01-23,Standard,499,0,48,7.3,55,Mobile,West,55+,"Google Ads",0,3,1,Comedy,2.64,1,0.67,7845.32,"Low content relevance",Low,"Very dissatisfied",Mature,Stable,Neutral,High,None
100051,2022-08-24,Basic,299,0.1,1,37.8,27,Tablet,West,45-54,"Meta Ads",1,1,1,Education,3.35,0,0.58,111.85,Active,Low,Neutral,Onboarding,Increasing,Positive,High,Referral
100052,2021-11-12,Premium,799,0.2,35,16.2,57,Mobile,South,45-54,Email,1,0,1,Drama,3.25,0,0.6,9020.97,Active,High,Satisfied,Mature,Increasing,"No contact",High,Seasonal
100053,2021-01-14,Basic,299,0.3,26,23,25,Mobile,North,45-54,Email,1,0,0,Fitness,2.38,1,0.7,1606.88,"Low usage",High,Neutral,Mature,Declining,"No contact",Occasional,Referral
100054,2021-08-30,Standard,499,0,32,9.6,54,Tablet,West,18-24,Email,0,0,0,Education,2.74,1,0.66,5428.33,"Poor app experience",Medium,"Very satisfied",Mature,Stable,"No contact",None,None
100055,2023-02-16,Basic,299,0.1,9,11,32,Mobile,West,45-54,Referral,0,1,0,Technology,1.94,1,0.76,582.94,"Price too high",Low,Satisfied,Growth,Increasing,Neutral,None,Seasonal
100056,2024-10-01,Standard,499,0,40,12.5,5,Tablet,South,45-54,Referral,0,0,0,Fitness,0.95,1,0.88,2352.61,"Poor app experience",Medium,"Very satisfied",Mature,Declining,"No contact",High,None
100057,2022-07-19,Basic,299,0,21,13,8,Tablet,East,25-34,"Meta Ads",0,0,0,Technology,1.1,1,0.86,856.94,"Switched to competitor",High,Dissatisfied,Mature,Stable,"No contact",None,None
100058,2023-06-17,Basic,299,0.1,16,20.3,21,Mobile,West,45-54,Email,0,1,0,Education,2.06,1,0.74,1100.44,"Poor app experience",Medium,Neutral,Growth,Stable,Neutral,Occasional,Retention
100059,2024-09-25,Basic,299,0.2,12,15.7,32,TV,North,55+,Email,0,1,0,Drama,2.22,1,0.72,790.61,"Low usage",Low,"Very dissatisfied",Growth,Increasing,Neutral,None,Retention
100060,2021-04-02,Standard,499,0.3,36,56.7,28,Tablet,North,55+,"Meta Ads",0,0,1,Technology,4.52,0,0.44,7051.87,Active,High,"Very satisfied",Mature,Declining,"No contact",Occasional,Referral
100061,2024-10-22,Standard,499,0.2,37,18.9,3,Mobile,East,25-34,Organic,0,0,3,Drama,1.25,1,0.84,2290.69,"Switched to competitor",Medium,Dissatisfied,Mature,Stable,"No contact",None,Seasonal
100062,2023-08-14,Basic,299,0,27,12.1,36,Laptop,East,35-44,Email,0,3,1,Fitness,2.17,1,0.73,2173.5,"Switched to competitor",High,"Very satisfied",Mature,Declining,Positive,Occasional,None
100063,2024-12-22,Premium,799,0,7,12.1,29,Tablet,East,25-34,"Meta Ads",1,0,0,Drama,1.89,1,0.77,1311.51,"Switched to competitor",High,"Very satisfied",Growth,Declining,"No contact",None,None
100064,2022-05-24,Basic,299,0.2,30,22.7,48,Laptop,East,55+,Organic,0,0,0,Fitness,3.28,0,0.59,2920.26,Active,High,Neutral,Mature,Increasing,"No contact",Occasional,Retention
100065,2023-02-15,Standard,499,0.1,24,23,25,Tablet,West,35-44,Organic,0,1,0,Education,2.38,1,0.7,3182.7,"Switched to competitor",High,Neutral,Mature,Declining,Neutral,High,Seasonal
100066,2021-02-04,Basic,299,0,30,63.2,51,Tablet,North,35-44,"Meta Ads",0,2,0,Fitness,5.83,0,0.28,6488.23,Active,High,Satisfied,Mature,Increasing,Neutral,Occasional,None
100067,2021-07-25,Standard,499,0,20,10,32,Laptop,North,18-24,Email,0,0,1,Comedy,1.88,1,0.77,2327.84,"Switched to competitor",Medium,Satisfied,Mature,Stable,"No contact",High,None
100068,2024-01-10,Premium,799,0.3,46,27.2,21,Laptop,North,35-44,Referral,0,0,0,Fitness,2.47,1,0.69,7884.33,"Poor app experience",High,Satisfied,Mature,Stable,"No contact",Occasional,Retention
100069,2024-11-12,Standard,499,0.2,40,28.5,25,TV,North,25-34,"Meta Ads",1,3,0,Comedy,2.71,1,0.66,5368.89,"Poor app experience",Medium,"Very dissatisfied",Mature,Stable,Neutral,None,Seasonal
100070,2023-10-23,Basic,299,0,45,8.7,4,TV,East,18-24,Referral,0,0,0,Drama,0.68,1,0.92,1135.16,"Poor app experience",Medium,Satisfied,Mature,Stable,"No contact",Occasional,None
100071,2023-10-19,Basic,299,0.3,28,12.9,20,Mobile,North,45-54,"Meta Ads",0,0,2,Comedy,1.57,1,0.81,1141.54,"Low usage",Low,Dissatisfied,Mature,Increasing,"No contact",High,Retention
100072,2024-11-14,Premium,799,0.2,4,12.7,17,Laptop,West,18-24,Email,0,1,1,Technology,1.44,1,0.82,456.8,"Poor app experience",Medium,Neutral,Onboarding,Declining,Positive,None,Retention
100073,2022-07-20,Basic,299,0,12,17.3,48,Tablet,North,35-44,"Google Ads",0,0,1,Technology,2.96,1,0.63,1317.68,"Low usage",Low,Neutral,Growth,Increasing,"No contact",Occasional,None
100074,2024-02-04,Basic,299,0,3,38.2,42,Mobile,North,18-24,"Meta Ads",1,0,0,Drama,3.97,0,0.51,441.82,Active,Medium,"Very satisfied",Onboarding,Increasing,"No contact",Occasional,None
100075,2022-12-04,Basic,299,0.1,37,32.4,44,Tablet,South,55+,"Meta Ads",1,0,0,Comedy,3.7,0,0.54,4570.69,Active,Low,Satisfied,Mature,Increasing,"No contact",Occasional,Seasonal
100076,2022-02-06,Basic,299,0,4,19.3,2,Mobile,West,45-54,Email,0,1,0,Comedy,1.24,1,0.85,184,"Price too high",High,Satisfied,Onboarding,Increasing,Negative,None,None
100077,2022-12-31,Basic,299,0.2,15,28,17,Tablet,South,45-54,"Google Ads",1,1,0,Comedy,2.36,1,0.71,1050.58,"Switched to competitor",Medium,"Very dissatisfied",Growth,Stable,Positive,Occasional,Seasonal
100078,2021-06-11,Premium,799,0.2,28,47,35,Mobile,South,55+,"Google Ads",1,1,0,Drama,4.22,0,0.48,9370.7,Active,Low,"Very satisfied",Mature,Increasing,Positive,High,Retention
100079,2021-07-21,Standard,499,0,37,39.9,13,TV,South,55+,Email,1,1,0,Technology,2.91,1,0.64,6665.92,"Low usage",Medium,Dissatisfied,Mature,Increasing,Neutral,None,None
100080,2023-09-23,Standard,499,0.2,9,20.2,44,Laptop,North,25-34,Email,0,1,1,Fitness,2.97,1,0.63,1323.9,"Low usage",Low,Neutral,Growth,Increasing,Neutral,Occasional,Retention
100081,2021-09-27,Basic,299,0.1,14,16.4,13,TV,South,18-24,"Meta Ads",0,0,0,Comedy,1.5,1,0.81,701.13,"Poor app experience",High,"Very satisfied",Growth,Declining,"No contact",Occasional,Seasonal
100082,2023-03-27,Standard,499,0,32,26,34,Laptop,North,18-24,"Google Ads",0,0,0,Drama,2.92,1,0.64,5784.93,"Poor app experience",Medium,Dissatisfied,Mature,Declining,"No contact",High,None
100083,2024-07-18,Standard,499,0.2,48,11.4,4,Laptop,West,35-44,Referral,0,0,0,Drama,0.84,1,0.9,1996.99,"Switched to competitor",Medium,Satisfied,Mature,Stable,"No contact",None,Seasonal
100084,2022-04-01,Standard,499,0.1,3,1,51,Mobile,North,25-34,Email,0,2,0,Technology,2.1,1,0.74,351.03,"Low content relevance",High,Neutral,Onboarding,Stable,Neutral,None,Seasonal
100085,2024-06-29,Basic,299,0.1,47,20.8,35,TV,North,35-44,"Meta Ads",0,1,0,Drama,2.65,1,0.67,4158.36,"Low content relevance",Medium,Neutral,Mature,Declining,Neutral,High,Retention
100086,2023-10-14,Premium,799,0,18,14.8,56,Tablet,North,25-34,Email,0,1,0,Comedy,3.13,1,0.61,5585.07,"Poor app experience",High,Neutral,Mature,Increasing,Neutral,Occasional,None
100087,2021-10-23,Standard,499,0.1,14,9.1,15,Tablet,South,45-54,"Meta Ads",0,0,0,Technology,1.15,1,0.86,897.09,"Low content relevance",Medium,"Very satisfied",Growth,Stable,"No contact",High,Retention
100088,2022-12-21,Premium,799,0,25,16.8,51,Mobile,West,25-34,Referral,0,1,0,Technology,3.05,1,0.62,7558.78,"Poor app experience",Medium,"Very dissatisfied",Mature,Increasing,Negative,Occasional,None
100089,2021-12-04,Basic,299,0,39,13.2,27,Laptop,West,35-44,"Meta Ads",1,1,1,Education,1.87,1,0.77,2705.47,"Low usage",Medium,Neutral,Mature,Stable,Positive,Occasional,None
100090,2023-05-29,Basic,299,0,26,14.7,53,TV,North,18-24,Email,0,1,0,Education,3,1,0.63,2893.55,"Switched to competitor",Low,"Very satisfied",Mature,Declining,Positive,None,None
100091,2023-12-13,Basic,299,0.1,6,9.1,56,TV,North,45-54,"Meta Ads",0,1,2,Drama,2.79,1,0.65,558.9,"Price too high",Low,"Very satisfied",Growth,Declining,Negative,High,Seasonal
100092,2023-03-03,Premium,799,0,26,20.6,5,Mobile,North,55+,Email,0,0,0,Fitness,1.44,1,0.82,3711.48,"Switched to competitor",Low,Neutral,Mature,Stable,"No contact",None,None
100093,2021-08-05,Basic,299,0,48,17.8,55,TV,East,35-44,Email,0,1,1,Drama,3.27,0,0.59,5822.71,Active,High,Dissatisfied,Mature,Declining,Positive,Occasional,None
100094,2023-02-03,Premium,799,0,41,39.1,10,Laptop,East,45-54,Organic,0,0,0,Fitness,2.75,1,0.66,11177.08,"Poor app experience",High,Neutral,Mature,Increasing,"No contact",Occasional,None
100095,2021-07-07,Premium,799,0.2,1,15.9,21,Mobile,West,45-54,Organic,1,1,0,Drama,1.79,1,0.78,141.96,"Switched to competitor",Low,Satisfied,Onboarding,Declining,Neutral,Occasional,Referral
100096,2022-01-15,Standard,499,0,21,13.6,58,Mobile,North,25-34,"Meta Ads",0,0,0,Education,3.14,1,0.61,4082.39,"Poor app experience",Low,Dissatisfied,Mature,Declining,"No contact",Occasional,None
100097,2022-05-08,Standard,499,0.2,14,47.2,24,Mobile,South,25-34,Organic,0,1,0,Education,3.79,0,0.53,2627.98,Active,High,Satisfied,Growth,Stable,Negative,Occasional,Referral
100098,2023-12-01,Standard,499,0,46,24.7,21,Tablet,West,18-24,"Google Ads",1,0,0,Technology,2.32,1,0.71,6607.11,"Low content relevance",Low,Satisfied,Mature,Increasing,"No contact",None,None
100099,2024-03-26,Standard,499,0.1,8,10.9,34,Laptop,West,45-54,Email,1,0,1,Technology,2.01,1,0.75,895.97,"Poor app experience",Medium,Dissatisfied,Growth,Declining,"No contact",None,Referral
100100,2021-01-15,Basic,299,0.2,25,19.1,31,TV,West,55+,"Meta Ads",1,1,0,Education,2.39,1,0.7,1773.23,"Poor app experience",Medium,Satisfied,Mature,Increasing,Positive,High,Referral
100101,2021-03-06,Standard,499,0,18,18.7,41,Laptop,West,25-34,"Meta Ads",1,0,2,Education,2.76,1,0.66,3075.72,"Low content relevance",High,Satisfied,Mature,Increasing,"No contact",High,None
100102,2022-06-05,Premium,799,0,15,9,16,TV,West,35-44,Referral,0,1,0,Fitness,1.18,1,0.85,1754.63,"Poor app experience",Low,Satisfied,Growth,Stable,Positive,High,None
100103,2024-09-29,Basic,299,0,42,15.4,27,Laptop,East,18-24,"Google Ads",1,0,0,Fitness,2,1,0.75,3116.13,"Poor app experience",High,Satisfied,Mature,Increasing,"No contact",None,None
100104,2024-02-27,Premium,799,0.1,20,22.3,22,Mobile,South,35-44,Email,0,2,0,Drama,2.22,1,0.72,3961.3,"Switched to competitor",Medium,Dissatisfied,Mature,Stable,Positive,Occasional,Seasonal
100105,2022-10-10,Basic,299,0,16,4.4,4,TV,North,55+,Referral,0,0,0,Drama,0.42,1,0.95,249.29,"Price too high",Low,Satisfied,Growth,Stable,"No contact",None,None
100106,2023-12-23,Basic,299,0.1,7,24.3,53,Mobile,West,18-24,"Meta Ads",1,0,0,Education,3.58,0,0.56,836.68,Active,Medium,"Very satisfied",Growth,Increasing,"No contact",Occasional,Retention
100107,2024-03-08,Basic,299,0,29,6.9,59,TV,West,25-34,Organic,0,1,0,Education,2.77,1,0.66,2979.98,"Switched to competitor",Medium,Satisfied,Mature,Stable,Neutral,None,None
100108,2022-08-16,Basic,299,0,31,28,29,Tablet,East,18-24,Email,0,2,0,Technology,2.84,1,0.65,3266,"Price too high",Low,Neutral,Mature,Increasing,Positive,Occasional,None
100109,2022-01-27,Premium,799,0.1,29,6.8,10,Mobile,South,18-24,Organic,1,0,0,Comedy,0.81,1,0.9,2095.74,"Poor app experience",High,Satisfied,Mature,Increasing,"No contact",None,Seasonal
100110,2022-02-23,Premium,799,0,17,8.2,29,Laptop,East,55+,Organic,0,2,1,Comedy,1.65,1,0.8,2780.64,"Poor app experience",Low,Dissatisfied,Growth,Stable,Neutral,None,None
100111,2021-10-16,Premium,799,0.2,5,12.7,40,Mobile,West,45-54,Organic,1,2,0,Drama,2.36,1,0.71,935.8,"Switched to competitor",High,Neutral,Onboarding,Stable,Neutral,None,Retention
100112,2022-01-14,Premium,799,0.3,18,5.8,51,Laptop,West,25-34,"Meta Ads",0,0,0,Education,2.39,1,0.7,2985.25,"Poor app experience",Medium,"Very satisfied",Mature,Stable,"No contact",Occasional,Referral
100113,2021-08-19,Basic,299,0,14,4.5,51,TV,West,35-44,"Meta Ads",0,0,0,Education,2.31,1,0.71,1199.71,"Low usage",Low,Neutral,Growth,Declining,"No contact",None,None
100114,2023-10-15,Basic,299,0.2,31,45,55,TV,West,45-54,"Meta Ads",1,1,1,Fitness,4.9,0,0.39,4508,Active,Low,"Very satisfied",Mature,Declining,Neutral,Occasional,Seasonal
100115,2021-02-10,Standard,499,0,18,16.9,29,TV,East,35-44,"Meta Ads",0,1,0,Drama,2.17,1,0.73,2418.23,"Price too high",Medium,Neutral,Mature,Stable,Positive,Occasional,None
100116,2023-11-18,Premium,799,0.1,47,22.4,28,Tablet,South,18-24,"Google Ads",0,0,0,Fitness,2.46,1,0.69,10315.43,"Switched to competitor",Medium,Neutral,Mature,Stable,"No contact",None,Retention
100117,2021-05-15,Basic,299,0,25,39.3,1,Laptop,South,55+,Referral,1,1,1,Fitness,2.4,1,0.7,2225.81,"Low content relevance",High,"Very satisfied",Mature,Declining,Positive,High,None
100118,2021-07-20,Premium,799,0.2,11,24.9,57,TV,East,35-44,Email,0,1,0,Education,3.77,0,0.53,3288.79,Active,Medium,Dissatisfied,Growth,Increasing,Negative,None,Retention
100119,2023-02-19,Standard,499,0,26,13.5,57,Tablet,East,45-54,"Meta Ads",0,2,0,Fitness,3.09,1,0.62,4973.9,"Poor app experience",Medium,"Very satisfied",Mature,Declining,Neutral,Occasional,None
100120,2023-07-19,Premium,799,0.2,5,11.7,2,TV,North,18-24,Email,0,0,0,Technology,0.78,1,0.9,309.29,"Poor app experience",Low,Neutral,Onboarding,Increasing,"No contact",Occasional,Referral
100121,2023-11-23,Basic,299,0.2,16,21.7,4,Tablet,South,55+,"Google Ads",1,2,0,Education,1.46,1,0.82,693.26,"Low usage",High,"Very satisfied",Growth,Increasing,Negative,Occasional,Referral
100122,2023-12-08,Standard,499,0,8,15.4,9,TV,West,25-34,"Google Ads",0,0,0,Comedy,1.28,1,0.84,633.97,"Low usage",High,"Very satisfied",Growth,Increasing,"No contact",Occasional,None
100123,2022-05-18,Premium,799,0,13,12.7,4,Tablet,West,55+,Organic,1,0,1,Drama,0.92,1,0.89,1185.61,"Low usage",Medium,Neutral,Growth,Declining,"No contact",None,None
100124,2022-02-11,Premium,799,0.2,32,5.7,40,Mobile,East,25-34,Organic,0,0,1,Fitness,1.94,1,0.76,4923.27,"Price too high",Low,Satisfied,Mature,Declining,"No contact",High,Seasonal
100125,2023-03-16,Basic,299,0,27,10.2,29,Mobile,South,18-24,"Meta Ads",0,0,0,Technology,1.77,1,0.78,1772.85,"Low usage",High,Satisfied,Mature,Stable,"No contact",High,None
100126,2021-04-09,Premium,799,0.3,26,10.1,29,Mobile,West,35-44,Referral,1,0,0,Fitness,1.77,1,0.78,3193.42,"Price too high",High,"Very satisfied",Mature,Stable,"No contact",High,Referral
100127,2022-11-15,Premium,799,0.3,9,58.1,32,Laptop,South,55+,Organic,0,0,1,Education,4.77,0,0.41,2979,Active,Medium,Satisfied,Growth,Stable,"No contact",Occasional,Retention
100128,2022-12-27,Basic,299,0.1,47,44.5,45,Tablet,West,45-54,Referral,0,1,0,Technology,4.47,0,0.45,7014.3,Active,Medium,"Very satisfied",Mature,Increasing,Neutral,Occasional,Referral
100129,2023-08-19,Basic,299,0.1,7,13.6,35,Tablet,South,45-54,Referral,0,1,0,Comedy,2.22,1,0.72,518.84,"Switched to competitor",High,Dissatisfied,Growth,Declining,Neutral,High,Seasonal
100130,2022-09-05,Standard,499,0,46,35.5,20,Tablet,West,45-54,Organic,0,1,0,Technology,2.93,1,0.64,8344.32,"Switched to competitor",Low,Satisfied,Mature,Stable,Negative,Occasional,None
